iter	Passed	Remaining
469	720	812
470	721	810
471	722	808
472	724	806
473	725	805
474	727	803
475	728	802
476	729	800
477	731	798
478	732	796
479	733	794
480	734	792
481	736	791
482	737	789
483	738	787
484	740	786
485	742	785
486	743	783
487	745	781
488	746	779
489	747	777
490	748	776
491	750	774
492	751	773
493	753	771
494	755	770
495	757	769
496	758	767
497	759	766
498	761	764
499	763	763
500	764	761
501	765	759
502	766	757
503	768	756
504	770	755
505	772	754
506	774	752
507	775	750
508	776	749
509	777	747
510	779	745
511	780	743
512	781	742
513	784	742
514	786	741
515	788	739
516	789	737
517	790	735
518	791	733
519	792	731
520	793	729
521	795	728
522	796	726
523	797	724
524	799	723
525	801	722
526	802	720
527	803	718
528	805	717
529	807	715
530	808	714
531	810	713
532	812	711
533	815	711
534	816	709
535	817	708
536	819	706
537	820	704
538	821	702
539	822	700
540	823	698
541	824	697
542	825	695
543	827	693
544	829	692
545	831	691
546	832	689
547	833	687
548	835	686
549	836	684
550	837	682
551	839	681
552	840	679
553	842	678
554	843	676
555	845	675
556	846	673
557	847	671
558	848	669
559	850	667
560	851	666
561	852	664
562	853	662
563	855	661
564	856	659
565	858	658
566	859	656
567	861	654
568	862	653
569	863	651
570	865	650
571	866	648
572	867	646
573	868	644
574	869	642
575	871	641
576	872	639
577	873	638
578	875	636
579	876	634
580	877	632
581	878	630
582	879	628
583	880	627
584	881	625
585	882	623
586	883	621
587	884	620
588	885	618
589	887	616
590	888	614
591	889	613
592	890	611
593	891	609
594	893	608
595	894	606
596	895	604
597	896	602
598	897	600
599	898	599
600	899	597
601	901	595
602	902	594
603	904	593
604	905	591
605	906	589
606	907	587
607	908	585
608	909	584
609	910	582
610	911	580
611	912	578
612	913	577
613	914	575
614	916	573
615	917	571
616	918	570
617	920	568
618	921	567
619	922	565
620	923	563
621	924	562
622	926	560
623	927	558
624	928	557
625	929	555
626	930	553
627	931	551
628	933	550
629	935	549
630	936	547
631	937	545
632	938	544
633	939	542
634	940	540
635	941	539
636	942	537
637	944	535
638	945	533
639	946	532
640	949	531
641	951	530
642	953	529
643	954	527
644	955	526
645	957	524
646	958	522
647	959	521
648	960	519
649	961	517
650	963	516
651	964	514
652	966	513
653	968	512
654	969	510
655	970	508
656	971	507
657	972	505
658	973	503
659	974	502
660	975	500
661	977	499
662	979	497
663	980	496
664	981	494
665	983	492
666	984	491
667	985	489
668	986	487
669	987	486
670	988	484
671	990	483
672	991	481
673	992	480
674	993	478
675	994	476
676	995	475
677	996	473
678	998	471
679	999	470
680	1000	468
681	1001	466
682	1002	465
683	1003	463
684	1004	462
685	1006	460
686	1007	459
687	1009	457
688	1010	456
689	1011	454
690	1012	452
691	1013	451
692	1014	449
693	1015	447
694	1016	446
695	1018	444
696	1019	443
697	1020	441
698	1021	439
699	1022	438
700	1023	436
701	1024	435
702	1025	433
703	1026	431
704	1027	430
705	1028	428
706	1030	426
707	1031	425
708	1032	423
709	1033	422
710	1034	420
711	1036	419
712	1038	417
713	1039	416
714	1041	415
715	1042	413
716	1043	411
717	1044	410
718	1045	408
719	1046	407
720	1047	405
721	1048	403
722	1049	402
723	1050	400
724	1052	399
725	1053	397
726	1054	396
727	1056	394
728	1057	392
729	1058	391
730	1059	389
731	1060	388
732	1061	386
733	1062	384
734	1063	383
735	1064	381
736	1065	380
737	1067	378
738	1068	377
739	1069	375
740	1070	374
741	1071	372
742	1072	371
743	1073	369
744	1075	367
745	1076	366
746	1077	364
747	1078	363
748	1079	361
749	1080	360
750	1082	358
751	1083	357
752	1084	355
753	1085	354
754	1086	352
755	1088	351
756	1089	349
757	1090	348
758	1091	346
759	1092	345
760	1093	343
761	1094	341
762	1095	340
763	1097	338
764	1098	337
765	1099	335
766	1100	334
767	1101	332
768	1102	331
769	1104	329
770	1105	328
771	1106	326
772	1107	325
773	1108	323
774	1109	322
775	1111	320
776	1112	319
777	1114	317
778	1115	316
779	1117	315
780	1118	313
781	1119	312
782	1120	310
783	1121	309
784	1122	307
785	1123	305
786	1124	304
787	1126	303
788	1128	301
789	1129	300
790	1131	298
791	1132	297
792	1133	295
793	1134	294
794	1136	292
795	1137	291
796	1138	290
797	1139	288
798	1141	287
799	1142	285
800	1144	284
801	1146	283
802	1147	281
803	1148	280
804	1149	278
805	1150	276
806	1151	275
807	1152	273
808	1153	272
809	1155	270
810	1156	269
811	1158	268
812	1159	266
813	1160	265
814	1161	263
815	1162	262
816	1164	260
817	1165	259
818	1166	257
819	1167	256
820	1168	254
821	1169	253
822	1170	251
823	1172	250
824	1173	248
825	1174	247
826	1176	246
827	1177	244
828	1178	243
829	1179	241
830	1180	240
831	1181	238
832	1182	237
833	1183	235
834	1184	234
835	1186	232
836	1187	231
837	1188	229
838	1189	228
839	1190	226
840	1191	225
841	1192	223
842	1193	222
843	1194	220
844	1195	219
845	1196	217
846	1197	216
847	1199	214
848	1200	213
849	1203	212
850	1204	210
851	1205	209
852	1206	207
853	1208	206
854	1209	205
855	1210	203
856	1211	202
857	1212	200
858	1213	199
859	1215	197
860	1217	196
861	1218	195
862	1219	193
863	1220	192
864	1221	190
865	1223	189
866	1224	187
867	1225	186
868	1226	184
869	1227	183
870	1228	181
871	1229	180
872	1230	179
873	1232	177
874	1233	176
875	1234	174
876	1235	173
877	1236	171
878	1237	170
879	1239	168
880	1240	167
881	1241	166
882	1242	164
883	1243	163
884	1245	161
885	1246	160
886	1248	159
887	1250	157
888	1251	156
889	1252	154
890	1253	153
891	1255	151
892	1256	150
893	1257	149
894	1258	147
895	1259	146
896	1261	144
897	1262	143
898	1263	141
899	1264	140
900	1265	139
901	1266	137
902	1268	136
903	1269	134
904	1270	133
905	1271	131
906	1273	130
907	1274	129
908	1275	127
909	1277	126
910	1279	124
911	1280	123
912	1281	122
913	1283	120
914	1284	119
915	1285	117
916	1286	116
917	1287	115
918	1288	113
919	1290	112
920	1291	110
921	1292	109
922	1294	107
923	1295	106
924	1297	105
925	1298	103
926	1299	102
927	1301	100
928	1302	99
929	1303	98
930	1305	96
931	1306	95
932	1308	93
933	1309	92
934	1310	91
935	1312	89
936	1313	88
937	1315	86
938	1316	85
939	1317	84
940	1319	82
941	1322	81
942	1323	80
943	1325	78
944	1326	77
945	1328	75
946	1329	74
947	1330	73
948	1332	71
949	1333	70
950	1338	68
951	1340	67
952	1342	66
953	1343	64
954	1345	63
955	1346	61
956	1347	60
957	1348	59
958	1350	57
959	1351	56
960	1352	54
961	1354	53
962	1355	52
963	1356	50
964	1358	49
965	1359	47
966	1360	46
967	1361	44
968	1362	43
969	1363	42
970	1365	40
971	1367	39
972	1369	37
973	1370	36
974	1371	35
975	1372	33
976	1373	32
977	1374	30
978	1375	29
979	1376	28
980	1377	26
981	1378	25
982	1380	23
983	1381	22
984	1382	21
985	1383	19
986	1384	18
987	1385	16
988	1386	15
989	1387	14
990	1389	12
991	1390	11
992	1391	9
993	1392	8
994	1393	7
995	1396	5
996	1398	4
997	1399	2
998	1401	1
999	1402	0
